模型,变量,系数,标准误,t值,显著性
(1)仅DFI,ln_DFI,-0.056217,0.005761,-9.7577,***
(1)仅DFI,IS,,,,
(1)仅DFI,Infra,,,,
(1)仅DFI,Gov,,,,
(1)仅DFI,Open,,,,
(1)仅DFI,HC,,,,
(2)全控制,ln_DFI,-0.029574,0.013116,-2.2548,**
(2)全控制,IS,-0.029519,0.051581,-0.5723,
(2)全控制,Infra,0.002876,0.032953,0.0873,
(2)全控制,Gov,-0.004951,0.124273,-0.0398,
(2)全控制,Open,0.174637,0.684363,0.2552,
(2)全控制,HC,-0.713868,0.285212,-2.5029,**
(3)IV-2SLS,ln_DFI_hat,0.048343,0.032192,1.5017,
(3)IV-2SLS,IS,-0.055334,0.046098,-1.2003,
(3)IV-2SLS,Infra,-0.022415,0.033414,-0.6708,
(3)IV-2SLS,Gov,-0.015003,0.122261,-0.1227,
(3)IV-2SLS,Open,0.110537,0.669831,0.165,
(3)IV-2SLS,HC,-1.065116,0.263985,-4.0348,***
(4)东部交互,ln_DFI,-0.035327,0.01193,-2.9611,***
(4)东部交互,ln_DFI_east,-0.031144,0.010627,-2.9307,***
(4)东部交互,IS,-0.012759,0.049234,-0.2591,
(4)东部交互,Infra,0.022149,0.031816,0.6962,
(4)东部交互,Gov,-0.009729,0.11703,-0.0831,
(4)东部交互,Open,0.091897,0.639603,0.1437,
(4)东部交互,HC,-0.49476,0.271639,-1.8214,*
(5)替换Y,ln_DFI,-0.029099,0.013092,-2.2227,**
(5)替换Y,IS,-0.032296,0.051007,-0.6332,
(5)替换Y,Infra,0.002748,0.033098,0.083,
(5)替换Y,Gov,0.001869,0.123209,0.0152,
(5)替换Y,Open,0.189232,0.68585,0.2759,
(5)替换Y,HC,-0.721319,0.286446,-2.5182,**
(6)缩尾处理,ln_DFI_w,-0.028902,0.012802,-2.2577,**
(6)缩尾处理,IS_w,-0.040796,0.050662,-0.8053,
(6)缩尾处理,Infra_w,0.004936,0.03266,0.1511,
(6)缩尾处理,Gov_w,-0.016437,0.126108,-0.1303,
(6)缩尾处理,Open_w,0.159544,0.706782,0.2257,
(6)缩尾处理,HC_w,-0.681086,0.289269,-2.3545,**
(7)排除COVID,ln_DFI,-0.038298,0.01485,-2.5791,**
(7)排除COVID,IS,-0.011487,0.066968,-0.1715,
(7)排除COVID,Infra,0.01976,0.037455,0.5276,
(7)排除COVID,Gov,-0.019449,0.149798,-0.1298,
(7)排除COVID,Open,0.101157,0.580013,0.1744,
(7)排除COVID,HC,-0.651781,0.306204,-2.1286,**
(8)排除直辖市,ln_DFI,-0.026798,0.014177,-1.8903,*
(8)排除直辖市,IS,-0.049232,0.056153,-0.8767,
(8)排除直辖市,Infra,0.016162,0.037529,0.4307,
(8)排除直辖市,Gov,0.097351,0.112839,0.8627,
(8)排除直辖市,Open,0.217318,0.741779,0.293,
(8)排除直辖市,HC,-0.866222,0.296568,-2.9208,***
(9)替换X,DFI_alt,-0.002218,0.000967,-2.2946,**
(9)替换X,IS,-0.02909,0.051524,-0.5646,
(9)替换X,Infra,0.000918,0.033145,0.0277,
(9)替换X,Gov,-0.014848,0.121314,-0.1224,
(9)替换X,Open,0.140939,0.666799,0.2114,
(9)替换X,HC,-0.789973,0.287773,-2.7451,***
